tipo_elem;distrito;id;cod_cent;nombre;utm_x;utm_y;longitud;latitud
M30;5;6640;PM10013;PM10013;442863.292321432;4481365.00901211;-3.67411535641269;40.4810095163552
M30;5;6641;PM10021;PM10021;442866.31923651;4481330.18066848;-3.67407650796914;40.4806959760369
M30;5;6642;PM10091;PM10091;442835.412761876;4480813.34342996;-3.67439453436033;40.4760379565892
M30;5;6643;PM10092;PM10092;442819.699443779;4480806.99821402;-3.67457932665751;40.4759797143981
M30;5;6644;PM10141;PM10141;443054.603648721;4480238.49034315;-3.6717572068267;40.4708744838392
M30;5;6645;PM10142;PM10142;443047.32480422;4480234.0596763;-3.67184266843934;40.4708340713716
M30;5;6646;PM10211;PM10211;443332.954939567;4479745.87008936;-3.66842984385959;40.4664557716814
M30;5;6647;PM10212;PM10212;443315.261779653;4479741.40940156;-3.6686381358201;40.4664143807103
M30;5;6648;PM10241;PM10241;443472.740476978;4479401.30134039;-3.66675038089134;40.4633612590252
M30;5;6649;PM10242;PM10242;443453.056734211;4479397.29238222;-3.66698218244293;40.4633238050448
M30;5;10297;PM10293;PM10293;443586.546360244;4479048.61036633;-3.6653767533352;40.4601917868638
M30;5;6650;PM10341;PM10341;443747.677432301;4478418.16670066;-3.66342052337203;40.4545233691274
M30;5;6651;PM10342;PM10342;443722.39634797;4478406.47529697;-3.66371762444557;40.454416335785
M30;5;6652;PM10343;PM10343;443741.246000283;4478411.98502004;-3.6634958208658;40.4544672462105
M30;5;6653;PM10344;PM10344;443734.688968653;4478411.62367061;-3.6635731152302;40.4544635471248
M30;5;6654;PM10401;PM10401;443805.71879701;4477897.59770381;-3.66268997613051;40.4498377533932
M30;5;6655;PM10402;PM10402;443783.795400772;4477893.82529915;-3.66294816479109;40.4498022873497
M30;5;6656;PM10441;;443918.394545558;4477435.35803101;-3.66132047593148;40.4456812756884
M30;5;6657;PM10442;;443898.533472309;4477433.76644733;-3.66155452451051;40.4456655979041
M30;5;6659;PM10444;;443905.063049541;4477433.9416516;-3.66147754737569;40.4456676168249
M30;5;6660;PM10446;;443897.668689037;4477375.9012923;-3.6615596104781;40.4451442609755
M30;5;6658;PM10447;;443877.096541017;4477413.68715626;-3.66180552092191;40.445483266666
M30;5;10264;PM10448;;443868.471584562;4477418.0262006;-3.66190760407443;40.4455217726899
M30;4;10175;PM10471;;443982.195494718;4477286.42030552;-3.66055504055223;40.4443438703316
M30;4;10265;PM10472;;443962.650491342;4477279.27386215;-3.6607848678303;40.44427817443
M30;4;3817;PM10486;PM10486;443918.615017242;4477178.20268951;-3.66129517221836;40.4433647047563
M30;4;3818;PM10501;PM10501;444087.17664981;4476901.52954299;-3.65928331720551;40.4408836431287
M30;4;3819;PM10502;PM10502;444063.733895114;4476902.36458825;-3.65955979325632;40.4408895889771
M30;4;10172;PM10533;PM10533;444062.630356559;4476618.35784835;-3.65954780036676;40.4383310348328
M30;4;3820;PM10561;PM10561;444024.542719476;4476323.2145841;-3.65997085786371;40.4356696675043
M30;4;6663;PM10572;PM10572;443994.039883935;4476223.4936473;-3.66032168631321;40.4347692755208
M30;4;10266;PM10578;PM10578;443985.492533369;4476225.02791215;-3.66042259020016;40.4347825213635
M30;4;10173;PM10593;PM10593;443973.590506334;4476061.25437202;-3.66054847102159;40.4333063616183
M30;4;3799;PM10611;PM10611;443949.070179546;4475815.19251265;-3.66081584675954;40.431088054505
