tipo_elem;distrito;id;cod_cent;nombre;utm_x;utm_y;longitud;latitud
M30;4;3488;PM10712;PM10712;444059.704099821;4474778.518240879;-3.65942038928967;40.42175658154508
M30;4;3489;PM10728;PM10728;444052.254168798;4474762.056769114;-3.65950675480124;40.42160778672098
M30;3;3490;PM10832;PM10832;443898.767230467;4473943.486684575;-3.66124373004974;40.41422332354869
M30;3;3491;PM10861;PM10861;443761.33842761;4473612.062757086;-3.66283415149648;40.41122839828762
M30;3;3492;PM10862;PM10862;443730.425119869;4473607.093383446;-3.66319803602662;40.41118154222058
M30;3;3493;PM10865;PM10865;443740.190475935;4473602.598732575;-3.66308255058561;40.41114171199116
M30;8;3494;PM22971;PM22971;440461.4583563;4481590.774721147;-3.70247210666068;40.48287455267949
M30;14;3495;PM30752;PM30752;444467.339525792;4474307.886733993;-3.65457441532741;40.41754417559395
M30;9;3496;PM32352;PM32352;436843.323639169;4478581.597822564;-3.74485818083194;40.4554996323646
M30;8;3510;PM12961;PM12961;440374.04093783;4481538.229601636;-3.70349849525922;40.48239493375193
M30;8;3521;PM30001;PM30001;443156.142448223;4482615.358583339;-3.67077258118191;40.49229329544748
M30;12;3531;PM21307;PM21307;441219.105042061;4470584.358840845;-3.69251560107347;40.38377761516842
M30;9;3532;PM21941;PM21941;438007.768474851;4475139.983449499;-3.73079019744377;40.42458393197887
M30;9;3533;PM22081;PM22081;437379.047988281;4476210.196558072;-3.73830666100415;40.43417773797423
M30;15;3536;PM30471;PM30471;444132.713299051;4476990.889093336;-3.65875427395785;40.44169170090139
M30;15;3538;PM40442;PM40442;444002.666188227;4477506.615320571;-3.66033308037902;40.44632887786612
M30;15;3539;PM30462;PM30462;444108.635187891;4477264.219431387;-3.65906221954291;40.44415238294781
M30;9;3558;PM22391;PM22391;436707.686954068;4479240.465608045;-3.7465234221211;40.46142460629753
M30;9;3559;PM22392;PM22392;436693.686456049;4479233.133106831;-3.74668781121298;40.46135748625834
M30;8;3560;PM22851;PM22851;439316.150838948;4481189.605342412;-3.71594575719683;40.47917776240673
M30;14;3561;PM30753;PM30753;444465.82208975;4474299.867547994;-3.65459160038659;40.41747183300103
M30;8;3597;PM22571;PM22571;436784.142289486;4480692.56926986;-3.74576639917224;40.47451142276722
M30;8;3598;PM22721;PM22721;438204.826276156;4480499.440032233;-3.72898887600474;40.47287856983735
M30;8;3599;PM22781;PM22781;438755.884725261;4480755.942550875;-3.72251337828457;40.47523004866402
M30;13;3600;PM30901;PM30901;443643.121257783;4473057.506877044;-3.66417826783222;40.4062246538563
M30;3;3611;PM10765;PM10765;443985.734755776;4474314.024150486;-3.66025137023542;40.41756718791231
M30;12;3703;PM41302;PM41302;441029.238995126;4469388.126976898;-3.69464162703605;40.37298788577748
M30;12;3704;PM41351;PM41351;441060.646102521;4468967.353191931;-3.69423279561982;40.36919954104179
M30;12;3705;PM41451;PM41451;439746.454030432;4471365.295103943;-3.70993796845397;40.390707487804
M30;8;3706;PM43022;PM43022;440677.266644124;4482808.124451927;-3.70003998990118;40.49385633229151
M30;12;3761;PM41261;PM41261;441400.441820167;4470302.301980738;-3.69035342460072;40.38124946523374
M30;12;3762;PM41262;PM41262;441406.177168235;4470289.126503733;-3.69028465038097;40.38113117657873
M30;12;3763;PM41301;PM41301;441022.426318453;4469387.702185167;-3.69472183155491;40.37298357698889
M30;8;3797;PM40005;PM40005;443081.764311719;4482550.064402707;-3.67164434096388;40.49170000128252
M30;4;3799;PM10611;PM10611;443949.070179546;4475815.192512652;-3.66081584675954;40.431088054505
M30;4;3800;PM10612;PM10612;443938.715753785;4475817.19034373;-3.66093808939342;40.43110535422704
M30;8;3801;PM12781;PM12781;438767.679430536;4480747.573274209;-3.72237343543397;40.47515552503011
M30;3;3815;PM10831;PM10831;443913.62601134;4473931.044837695;-3.66106750944169;40.4141122419142
M30;3;3816;PM10901;PM10901;443542.028376997;4473095.039045367;-3.66537292322372;40.40655591515045
M30;4;3817;PM10486;PM10486;443918.615017242;4477178.202689513;-3.66129517221836;40.44336470475632
M30;4;3818;PM10501;PM10501;444087.17664981;4476901.529542993;-3.65928331720551;40.44088364312868
M30;4;3819;PM10502;PM10502;444063.733895114;4476902.364588254;-3.65955979325632;40.44088958897709
M30;4;3820;PM10561;PM10561;444024.542719476;4476323.214584099;-3.65997085786371;40.43566966750429
M30;15;3821;PM20025;PM20025;442925.120742158;4481473.977204508;-3.67339574402497;40.48199540056979
M30;15;3822;PM20026;PM20026;442913.469786535;4481463.119978073;-3.67353222077003;40.48189679309026
M30;15;3823;PM20041;PM20041;442856.829316589;4480774.639664975;-3.67413840361962;40.47569077011911
M30;15;3826;PM40755;PM40755;444420.166905775;4474343.280126662;-3.65513350659075;40.41785986993909
M30;4;3827;PM40753;PM40753;443522.386954329;4474632.717195597;-3.66574089512554;40.42040683031721
M30;4;3828;PM40754;PM40754;443525.251053552;4474640.604432208;-3.66570783655454;40.42047807716887
M30;9;3836;PM22341;PM22341;436905.514477689;4478674.56120844;-3.74413401155546;40.45634180087056
M30;15;3837;PM30461;PM30461;444315.841596641;4477456.246474723;-3.65663586080218;40.44589616490077
M30;13;3838;PM30902;PM30902;443641.982885363;4473049.546614571;-3.66419097803113;40.40615286627622
M30;12;3839;PM31263;PM31263;441288.885340061;4470234.184909604;-3.69166128965708;40.38062797643011
M30;8;6639;PM40001;PM40001;443088.625858808;4482547.301747223;-3.67156313077558;40.49167558462718
M30;5;6640;PM10013;PM10013;442865.853274881;4481386.079488377;-3.67408704222425;40.48119950441493
M30;5;6641;PM10021;PM10021;442869.28791041;4481350.331667072;-3.6740433008622;40.48087770910202
M30;5;6642;PM10091;PM10091;442835.412761876;4480813.343429959;-3.67439453436033;40.47603795658922
M30;5;6643;PM10092;PM10092;442819.699443779;4480806.998214016;-3.67457932665751;40.47597971439813
M30;5;6644;PM10141;PM10141;443054.603648721;4480238.490343154;-3.6717572068267;40.47087448383919
M30;5;6645;PM10142;PM10142;443047.32480422;4480234.059676302;-3.67184266843934;40.47083407137156
M30;5;6646;PM10211;PM10211;443332.954939567;4479745.87008936;-3.66842984385959;40.46645577168144
