% valor	NoC_0	NoC_1	NoC_2	NoC_2zz	NoC_3	NoC_3c1
-235	0	1	0	0	0	0
-234	0	0	0	0	0	0
-233	0	0	0	0	0	0
-232	0	0	0	0	0	0
-231	0	0	0	0	0	0
-230	0	0	0	0	0	0
-229	0	0	0	0	0	0
-228	0	0	0	0	0	0
-227	0	0	0	0	0	0
-226	0	0	0	0	0	0
-225	0	0	0	0	0	0
-224	0	0	0	0	0	0
-223	0	0	0	0	0	1
-222	0	0	0	0	0	0
-221	0	0	0	0	0	0
-220	0	0	0	0	0	0
-219	0	0	0	0	0	0
-218	0	0	0	0	0	0
-217	0	0	0	0	0	0
-216	0	0	0	0	0	0
-215	0	0	1	7	0	0
-214	0	0	0	9	0	0
-213	0	0	0	4	0	0
-212	0	0	0	5	0	0
-211	0	0	0	2	0	0
-210	0	0	0	4	0	0
-209	0	0	0	1	0	0
-208	0	0	0	2	0	0
-207	0	0	0	3	0	0
-206	0	0	0	10	0	0
-205	0	0	0	8	0	0
-204	0	0	0	11	0	0
-203	0	0	0	6	0	0
-202	0	0	0	4	0	0
-201	0	0	0	3	0	0
-200	0	0	0	22	0	0
-199	0	0	0	5	0	0
-198	0	0	0	8	0	0
-197	0	0	0	10	0	0
-196	0	0	0	2	0	0
-195	0	0	0	13	0	0
-194	0	0	0	18	0	0
-193	0	0	0	38	0	0
-192	0	0	0	25	0	0
-191	0	0	0	23	0	0
-190	0	0	0	58	0	0
-189	0	0	0	36	0	0
-188	0	0	0	35	0	0
-187	0	0	0	23	0	0
-186	0	0	0	13	0	0
-185	0	0	0	7	0	0
-184	0	0	0	7	0	0
-183	0	0	0	10	0	0
-182	0	0	0	8	0	0
-181	0	0	0	17	0	0
-180	0	0	0	22	0	0
-179	0	0	0	10	0	0
-178	0	0	0	17	0	0
-177	0	0	0	22	0	0
-176	0	0	0	42	0	0
-175	0	0	0	43	0	0
-174	0	0	0	63	0	0
-173	0	0	0	56	0	0
-172	0	0	0	68	1	0
-171	0	0	0	41	0	0
-170	0	0	0	53	0	0
-169	0	0	0	46	0	0
-168	0	0	0	38	0	0
-167	0	0	0	24	0	0
-166	0	0	0	36	0	0
-165	0	0	0	35	0	0
-164	0	0	0	62	1	0
-163	0	0	0	35	0	0
-162	0	0	0	52	0	0
-161	0	0	0	45	0	0
-160	0	0	0	39	0	0
-159	0	0	0	29	0	0
-158	0	0	0	54	0	0
-157	0	0	0	45	0	0
-156	0	0	0	40	0	0
-155	0	0	0	64	0	0
-154	0	0	0	60	0	0
-153	0	0	0	70	0	0
-152	0	0	0	95	0	0
-151	0	0	0	70	0	0
-150	0	0	0	75	0	0
-149	0	0	0	73	0	1
-148	0	0	0	74	0	0
-147	0	0	0	92	0	0
-146	0	0	0	83	0	0
-145	0	0	0	95	0	0
-144	0	0	0	91	0	0
-143	0	0	0	73	0	0
-142	0	0	0	50	0	1
-141	0	0	0	46	0	0
-140	0	0	0	65	0	0
-139	0	0	0	64	0	0
-138	0	0	0	51	0	0
-137	0	0	0	49	0	0
-136	0	0	0	55	0	0
-135	0	0	0	65	0	0
-134	0	0	0	77	1	0
-133	0	0	0	118	0	0
-132	0	1	0	99	0	0
-131	0	0	0	114	0	0
-130	0	0	1	81	0	0
-129	0	0	0	90	0	1
-128	0	0	0	85	0	1
-127	0	0	0	92	0	0
-126	0	0	0	129	0	0
-125	0	0	0	92	0	2
-124	0	0	0	128	0	0
-123	0	0	0	106	0	0
-122	0	1	2	118	0	0
-121	0	0	1	117	0	0
-120	0	0	0	145	0	0
-119	0	0	0	109	0	0
-118	0	0	0	136	0	0
-117	0	0	0	130	0	0
-116	0	0	0	118	0	0
-115	0	0	1	122	0	1
-114	0	0	0	108	0	0
-113	0	0	0	140	0	1
-112	0	0	2	137	0	2
-111	0	0	1	130	1	0
-110	0	0	2	125	2	0
-109	0	1	0	125	4	5
-108	0	1	2	139	3	1
-107	0	0	0	143	6	1
-106	0	0	6	139	5	2
-105	0	0	5	189	4	2
-104	0	0	7	188	10	4
-103	0	0	14	223	15	1
-102	0	2	21	192	21	1
-101	0	1	15	190	26	2
-100	0	0	29	171	25	4
-99	0	0	15	176	58	2
-98	0	1	26	148	72	8
-97	0	6	31	157	86	5
-96	0	1	45	195	106	10
-95	0	1	51	209	100	8
-94	0	3	29	214	176	6
-93	0	6	19	217	202	11
-92	0	6	25	265	232	15
-91	0	6	31	232	285	18
-90	0	3	38	241	393	16
-89	0	21	58	242	467	32
-88	0	10	88	256	542	34
-87	0	16	67	223	571	26
-86	0	8	70	217	589	34
-85	0	19	73	237	761	40
-84	0	15	83	292	878	40
-83	0	17	73	257	1032	47
-82	0	27	81	307	1198	56
-81	0	28	99	325	1245	53
-80	0	22	99	377	1283	77
-79	0	29	102	296	1413	105
-78	0	40	109	340	1391	75
-77	0	60	109	338	1412	81
-76	0	42	148	319	1492	100
-75	0	52	144	346	1644	106
-74	0	42	155	393	1547	117
-73	0	56	127	371	1601	127
-72	0	79	129	411	1645	127
-71	0	47	132	360	1693	143
-70	0	63	176	444	1878	182
-69	0	65	153	473	2040	190
-68	0	67	184	460	2195	194
-67	0	148	215	534	2390	234
-66	0	88	217	598	2491	230
-65	0	90	260	612	2625	295
-64	0	117	317	619	2801	275
-63	0	140	305	637	3067	320
-62	0	140	380	662	3322	394
-61	0	135	348	660	3521	363
-60	0	156	331	753	3753	449
-59	0	185	384	770	3976	471
-58	0	185	401	895	4187	512
-57	0	249	446	817	4501	572
-56	0	235	471	1037	4790	612
-55	0	308	481	972	5004	675
-54	0	292	541	1098	5326	716
-53	0	297	619	1108	5588	791
-52	0	347	635	1384	5989	994
-51	0	417	703	1398	6454	1025
-50	0	430	824	1529	6971	1176
-49	0	544	876	1570	7460	1292
-48	0	550	995	1731	7952	1468
-47	0	644	1123	1753	8607	1668
-46	0	739	1188	2160	8995	1853
-45	0	751	1327	1955	9695	2017
-44	0	860	1550	2456	10108	2317
-43	0	1002	1628	2428	10381	2490
-42	0	1093	1858	3117	10930	2856
-41	0	1059	1992	3053	11097	3135
-40	0	1337	2387	3661	11548	3346
-39	0	1478	2494	3335	11942	3833
-38	0	1674	2719	4278	12348	4077
-37	0	1798	3106	3932	12736	4502
-36	0	2160	3311	5162	13314	5116
-35	0	2381	3715	4603	13773	5685
-34	0	2597	4081	5924	14528	6249
-33	0	2980	4632	5619	15312	6748
-32	0	3307	5137	6808	16244	7445
-31	0	3790	5680	6504	17705	8279
-30	0	4380	6262	8104	18692	9117
