tipo_elem;distrito;id;cod_cent;nombre;utm_x;utm_y;longitud;latitud
URB;4;3840;1001;Jose Ortega y Gasset E-O - Pº Castellana-Serrano;441.615.343.346.657;44.757.679.421.385;-36.883.232.754.856;404.305.018.691.825
URB;4;3841;1002;Jose Ortega y Gasset O-E - Serrano-Pº Castellana;441.705.882.339.595;447.576.968.733.175;-368.725.610.305.613;404.305.239.406.404
URB;1;3842;1003;Pº Recoletos N-S - Almirante-Prim;441.319.371.258.338;447.484.115.423.716;-36.917.268.449.043;404.221.320.929.972
URB;4;3843;1004;Pº Recoletos S-N - Pl. Cibeles- Recoletos;44.130.163.298.559;44.747.637.275.141;-369.192.878.230.734;404.214.333.442.836
URB;4;3844;1005;(AFOROS) Pº Castellana S-N  - Eduardo Dato - Pl.Emilio Castelar;441.605.765.071.902;447.613.213.924.728;-368.846.965.033.102;404.337.820.578.943
URB;4;3845;1006;Pº Recoletos S-N - Villanueva-Jorge Juan;441.382.968.851.413;44.749.938.634.694;-369.099.128.548.591;404.235.122.547.331
URB;1;3846;1007;Sagasta 20 O-E - Mejia Lequerica-Pl. Alonso Martinez;440.758.289.091.424;447.551.512.436.752;-369.840.321.012.929;404.281.637.727.028
URB;7;3847;1008;Almagro 7 N-S - Zurbano-Pl. Alonso Martinez;441.085.139.017.928;447.558.213.769.423;-369.455.644.132.333;404.287.906.721.949
URB;7;3848;1009;(AFOROS) Genova 13 E-O - Zurbano-Campoamor;441.114.888.348.354;447.537.479.938.861;-369.418.654.145.027;40.426.924.977.219
URB;1;3849;1010;PL.STA BARBARA S-N(SERRANO ANGUITA-PL.ALONSO MARTINEZ);440.913.426.927.696;447.537.154.847.328;-369.656.106.746.327;404.268.814.072.712
URB;1;3850;1011;(AFOROS) Genova O-E - General Castaños-Pl. Colon;441.254.990.156.824;447.527.145.945.618;-369.252.547.121.172;404.260.039.466.159
URB;4;7029;1012; Pº Recoletos  N-S -  (PL. Colon-Bárbara Braganza);441.401.492.637.174;447.507.229.327.272;-369.078.016.561.876;404.242.200.932.479
URB;1;10034;1013;Barbara Braganza E-O  - Pº Recoletos - Marques Ensenada;441.294.488.284.123;447.497.500.966.206;-369.203.250.238.828;404.233.361.722.719
URB;7;3851;1014;Pº Castellana N-S - Ayala-Pl. Colon;441.474.792.659.173;447.541.414.427.723;-368.994.760.550.778;404.273.048.117.337
URB;1;10036;1017;Barbara Braganza O-E  - Conde Xiquena-Tamayo y Baus;441.134.629.601.492;447.501.912.682.102;-369.392.090.223.793;404.237.223.062.949
URB;7;3562;1018;(AFOROS) Pº Castellana N-S - Eduardo Dato-Marques de Riscal;441.594.078.438.958;447.599.219.154.856;-368.859.456.595.845;404.325.205.220.297
URB;1;3854;1020;Fernado VI E-O - Campoamor-Hortaleza;440.920.452.508.756;447.521.293.663.489;-369.646.351.117.965;404.254.530.561.641
URB;1;3855;1021;HORTALEZA 75 S-N(TRAV.SAN MATEO-FERNANDOVI);440.810.764.131.103;447.517.751.572.547;-36.977.531.922.756;404.251.261.715.913
